Ticker;CompanyName;Sector;StockPrice
APA;Apache Corporation;Energy;37.73
APC;Anadarko Petroleum Corp;Energy;56.2
CHK;Chesapeake Energy;Energy;2.82
COG;Cabot Oil & Gas;Energy;23.01
COP;ConocoPhillips;Energy;53.24
CVX;Chevron Corp.;Energy;112.3
CXO;Concho Resources;Energy;140.09
DVN;Devon Energy Corp.;Energy;34.94
EOG;EOG Resources;Energy;101.04
EQT;EQT Corporation;Energy;46.25
FTI;TechnipFMC;Energy;29.1
HAL;Halliburton Co.;Energy;47.41
HES;Hess Corporation;Energy;43
HP;Helmerich & Payne;Energy;64.87
KMI;Kinder Morgan;Energy;16.8
MPC;Marathon Petroleum;Energy;62.79
MRO;Marathon Oil Corp.;Energy;15.68
NBL;Noble Energy Inc;Energy;25.43
NFX;Newfield Exploration Co;Energy;26.38
NOV;National Oilwell Varco Inc.;Energy;32.64
OKE;ONEOK;Energy;54.4
OXY;Occidental Petroleum;Energy;68.47
PSX;Phillips 66;Energy;92.44
PXD;Pioneer Natural Resources;Energy;169.16
RRC;Range Resources Corp.;Energy;12.82
SLB;Schlumberger Ltd.;Energy;67.4
VLO;Valero Energy;Energy;86.77
WMB;Williams Cos.;Energy;28.56
XEC;Cimarex Energy;Energy;100.19
XOM;Exxon Mobil Corp.;Energy;76.07
AFL;AFLAC Inc;Financials;83.25
AIZ;Assurant Inc;Financials;85.16
AJG;Arthur J. Gallagher & Co.;Financials;64.4
ALL;Allstate Corp;Financials;90.06
AMG;Affiliated Managers Group Inc;Financials;179.11
AMP;Ameriprise Financial;Financials;152.5
AON;Aon plc;Financials;136.05
AXP;American Express Co;Financials;88.34
BAC;Bank of America Corp;Financials;29.74
BBT;BB&T Corporation;Financials;51.07
BEN;Franklin Resources;Financials;38
BHF;Brighthouse Financial Inc;Financials;55.44
BK;The Bank of New York Mellon Corp.;Financials;53.29
BLK;BlackRock;Financials;509.38
BRK.B;Berkshire Hathaway;Financials;191.42
C;Citigroup Inc.;Financials;71.87
CB;Chubb Limited;Financials;140.39
CBOE;CBOE Holdings;Financials;111.15
CFG;Citizens Financial Group;Financials;42.19
CINF;Cincinnati Financial;Financials;70.34
CMA;Comerica Inc.;Financials;89.18
CME;CME Group Inc.;Financials;153.04
COF;Capital One Financial;Financials;91.8
DFS;Discover Financial Services;Financials;72.4
ETFC;E*Trade;Financials;48.48
FITB;Fifth Third Bancorp;Financials;31.1
GS;Goldman Sachs Group;Financials;246.35
HBAN;Huntington Bancshares;Financials;15.1
HIG;Hartford Financial Svc.Gp.;Financials;53.34
HRB;Block H&R;Financials;25.19
ICE;Intercontinental Exchange;Financials;67
IVZ;Invesco Ltd.;Financials;31.92
JPM;JPMorgan Chase & Co.;Financials;107.88
KEY;KeyCorp;Financials;20.08
L;Loews Corp.;Financials;46.05
LNC;Lincoln National;Financials;73.86
LUK;Leucadia National Corp.;Financials;23.86
MCO;Moody's Corp;Financials;152.14
MET;MetLife Inc.;Financials;44.28
MMC;Marsh & McLennan;Financials;79.31
MS;Morgan Stanley;Financials;51.79
MTB;M&T Bank Corp.;Financials;178.35
NAVI;Navient;Financials;13.38
NTRS;Northern Trust Corp.;Financials;96.2
PBCT;People's United Financial;Financials;18.56
PFG;Principal Financial Group;Financials;60.38
PGR;Progressive Corp.;Financials;51.07
PNC;PNC Financial Services;Financials;149.38
PRU;Prudential Financial;Financials;103.38
RE;Everest Re Group Ltd.;Financials;241.06
RF;Regions Financial Corp.;Financials;17.9
RJF;Raymond James Financial Inc.;Financials;86.06
SCHW;Charles Schwab Corporation;Financials;48.9
STI;SunTrust Banks;Financials;65.8
STT;State Street Corp.;Financials;98.54
SYF;Synchrony Financial;Financials;34.98
TMK;Torchmark Corp.;Financials;80.52
TROW;T. Rowe Price Group;Financials;101.99
TRV;The Travelers Companies Inc.;Financials;135.01
UNM;Unum Group;Financials;47.87
USB;U.S. Bancorp;Financials;52.65
WFC;Wells Fargo;Financials;55.4
WLTW;Willis Towers Watson;Financials;152.36
XL;XL Capital;Financials;41.26
ZION;Zions Bancorp;Financials;50.71
A;Agilent Technologies Inc;Health Care;65.05
ABBV;AbbVie Inc.;Health Care;108.48
ABC;AmerisourceBergen Corp;Health Care;91.55
ABT;Abbott Laboratories;Health Care;56.27
AET;Aetna Inc;Health Care;178
ALGN;Align Technology;Health Care;220.71
ALXN;Alexion Pharmaceuticals;Health Care;108.47
AMGN;Amgen Inc;Health Care;173.12
ANTM;Anthem Inc.;Health Care;230.57
BAX;Baxter International Inc.;Health Care;62.56
BDX;Becton Dickinson;Health Care;211.44
BIIB;Biogen Inc.;Health Care;311.79
