Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
BHF;Brighthouse Financial Inc;55.44;-24.62;75;52.751;7066613254;0
BMY;Bristol-Myers Squibb;62.69;2.65;66.1;51.12;1.02507E+11;5170000000
AVGO;Broadcom;229.57;4.01;285.68;202.61;92791974933;7016000000
BF.B;Brown-Forman Corp.;63.33;1.7;69.9028;45.415;5498033502;1139000000
CHRW;C. H. Robinson Worldwide;90.47;3.57;100.18;63.41;12932483889;868096000
CA;CA, Inc.;32.66;1.85;36.56;30.45;14175422936;1613000000
COG;Cabot Oil & Gas;23.01;-0.92;29.57;21.4;10808821635;404951000
CDNS;Cadence Design Systems;36.82;0.74;46;29.01;10890625200;455607000
CPB;Campbell Soup;44.83;2.89;64.23;43.5;13467193376;1683000000
COF;Capital One Financial;91.8;3.45;106.5;76.05;47637260000;0
CAH;Cardinal Health Inc.;66.63;4.04;84.88;54.66;20493281175;1913000000
KMX;Carmax Inc;64.34;3.97;77.64;54.29;11827453706;1339628000
CCL;Carnival Corp.;66.76;3.58;72.7;54.75;49180044050;4711000000
CAT;Caterpillar Inc.;145.99;1.26;173.24;90.34;91822049046;8136000000
CBOE;CBOE Holdings;111.15;2.27;138.54;76.75;12998295607;488406000
CBG;CBRE Group;41.92;1.69;46.6;30.43;14440591731;1652961000
CBS;CBS Corp.;51.8;2.81;70.095;52.75;20431395736;2841000000
CELG;Celgene Corp.;91.02;3.58;147.17;92.85;74921079154;5233000000
CNC;Centene Corporation;100.36;3.23;112.42;65.03;18012494506;2063000000
CNP;CenterPoint Energy;25.85;1;30.45;25.51;11362043297;2337000000
CTL;CenturyLink Inc;16.2;1.16;27.61;13.161;18237196861;5577000000
CERN;Cerner;61.22;1.84;73.86;51.2617;21101697598;1523440000
CF;CF Industries Holdings Inc;37.46;-1.2;43.98;25.04;9209106695;711000000
SCHW;Charles Schwab Corporation;48.9;1.61;56.25;37.16;69750188843;0
CHTR;Charter Communications;348.65;34.08;408.83;308.3;86708878113;14694000000
CHK;Chesapeake Energy;2.82;-6.44;6.59;2.8;2626102121;1470000000
CVX;Chevron Corp.;112.3;4.85;133.88;102.55;2.18979E+11;28877000000
CMG;Chipotle Mexican Grill;266.01;0.8;499;263;7685283970;401293000
CB;Chubb Limited;140.39;8.2;157.5;130.17;68424670566;0
CHD;Church & Dwight;47.38;2.92;54.1799;43.21;11838963451;868000000
CI;CIGNA Corp.;189.27;7.2;227.13;141.93;47680910480;0
XEC;Cimarex Energy;100.19;-4.64;136.31;89.49;10089082025;1061056000
